trial_type,time_elapsed,rt,key_press,condition,next_reward,responses,planet,curr_prac_trial,n_prac_rounds,button_pressed,alien,aliens,reward_received,decay_rate_actual,decay_rate_exp,time_in_block,block_num,prt,last_trial_on_planet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,431252,null,null,,48,,4,,,,,,99,0.485528972,0.484848485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,431299,45.80000001,65,,48,,4,,,,,,,,,73629,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,433259,,,,,[],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,434761,null,null,,21,,4,,,,,,48,0.434808587,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,434928,165.5,76,,21,,4,,,,,,,,,77258,1,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,444760,,,,,[],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,449762,null,null,,,,,,,,102,54,38,81,4,69,40,31,14,118,49,87,104,12,65,43,32,28,25,62,8,103,46,117,39,66,113,61,97,23,26,72,74,93,119,86,18,2,45,94,52,105,95,21,13,70,120,112,82,116,1,78,30,37,68,90,41,73,42,88,36
land,450265,null,null,,94,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,452274,,,,,[],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,453777,null,null,,44,,5,,,,,,94,0.469621688,0.468085106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,453831,53,76,,44,,5,,,,,,,,,96161,1,0,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,463782,,,,,[],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,468784,null,null,,,,,,,,115,54,38,81,4,69,40,31,14,118,49,87,104,12,65,43,32,28,25,62,8,103,46,117,39,66,113,61,97,23,26,72,74,93,119,86,18,2,45,94,52,105,95,21,13,70,120,112,82,116,1,78,30,37,68,90,41,73,42,88,36
land,469290,null,null,,98,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,471296,,,,,[],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,472797,null,null,,83,,6,,,,,,98,0.847996066,0.846938776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,473090,291.1,76,,83,,6,,,,,,,,,115421,1,0,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,482805,,,,,[],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,487808,null,null,,,,,,,,99,54,38,81,4,69,40,31,14,118,49,87,104,12,65,43,32,28,25,62,8,103,46,117,39,66,113,61,97,23,26,72,74,93,119,86,18,2,45,94,52,105,95,21,13,70,120,112,82,116,1,78,30,37,68,90,41,73,42,88,36
land,488310,null,null,,103,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,490316,,,,,[],7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,491818,null,null,,81,,7,,,,,,103,0.786623337,0.786407767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,492264,443.4,76,,81,,7,,,,,,,,,134594,1,0,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,501817,,,,,[],7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,506822,null,null,,,,,,,,107,54,38,81,4,69,40,31,14,118,49,87,104,12,65,43,32,28,25,62,8,103,46,117,39,66,113,61,97,23,26,72,74,93,119,86,18,2,45,94,52,105,95,21,13,70,120,112,82,116,1,78,30,37,68,90,41,73,42,88,36
land,507325,null,null,,98,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,509332,,,,,[],8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
