,sub_num,true_planet,fold_num,dataset,galaxy,prt
0,0,8,6.0,train,0,3
0,0,8,7.0,train,0,3
0,0,8,9.0,train,0,3
0,0,8,10.0,train,0,3
0,0,23,8.0,test,2,2
0,0,23,1.0,train,2,2
0,0,23,2.0,train,2,2
0,0,23,3.0,train,2,2
0,0,23,4.0,train,2,2
0,0,23,5.0,train,2,2
0,0,23,6.0,train,2,2
0,0,23,7.0,train,2,2
0,0,23,9.0,train,2,2
0,0,23,10.0,train,2,2
0,0,47,9.0,test,2,2
0,0,47,1.0,train,2,2
0,0,47,2.0,train,2,2
0,0,47,3.0,train,2,2
0,0,47,4.0,train,2,2
0,0,47,5.0,train,2,2
0,0,47,6.0,train,2,2
0,0,47,7.0,train,2,2
0,0,47,8.0,train,2,2
0,0,47,10.0,train,2,2
0,0,20,9.0,test,0,2
0,0,20,1.0,train,0,2
0,0,20,2.0,train,0,2
0,0,20,3.0,train,0,2
0,0,20,4.0,train,0,2
0,0,20,5.0,train,0,2
0,0,20,6.0,train,0,2
0,0,20,7.0,train,0,2
0,0,20,8.0,train,0,2
0,0,20,10.0,train,0,2
0,0,93,9.0,test,1,1
0,0,93,1.0,train,1,1
0,0,93,2.0,train,1,1
0,0,93,3.0,train,1,1
0,0,93,4.0,train,1,1
0,0,93,5.0,train,1,1
0,0,93,6.0,train,1,1
0,0,93,7.0,train,1,1
0,0,93,8.0,train,1,1
0,0,93,10.0,train,1,1
0,0,43,9.0,test,1,1
0,0,43,1.0,train,1,1
0,0,43,2.0,train,1,1
0,0,43,3.0,train,1,1
0,0,43,4.0,train,1,1
0,0,43,5.0,train,1,1
0,0,43,6.0,train,1,1
0,0,43,7.0,train,1,1
0,0,43,8.0,train,1,1
0,0,43,10.0,train,1,1
0,0,85,9.0,test,1,1
0,0,85,1.0,train,1,1
0,0,85,2.0,train,1,1
0,0,85,3.0,train,1,1
0,0,85,4.0,train,1,1
0,0,85,5.0,train,1,1
0,0,85,6.0,train,1,1
0,0,85,7.0,train,1,1
0,0,85,8.0,train,1,1
0,0,85,10.0,train,1,1
0,0,50,9.0,test,2,3
0,0,50,1.0,train,2,3
0,0,50,2.0,train,2,3
0,0,50,3.0,train,2,3
0,0,50,4.0,train,2,3
0,0,50,5.0,train,2,3
0,0,50,6.0,train,2,3
0,0,50,7.0,train,2,3
0,0,50,8.0,train,2,3
0,0,50,10.0,train,2,3
0,0,94,9.0,test,1,1
0,0,94,1.0,train,1,1
0,0,94,2.0,train,1,1
0,0,94,3.0,train,1,1
0,0,94,4.0,train,1,1
0,0,94,5.0,train,1,1
0,0,94,6.0,train,1,1
0,0,94,7.0,train,1,1
0,0,94,8.0,train,1,1
0,0,94,10.0,train,1,1
0,0,10,10.0,test,0,3
0,0,10,1.0,train,0,3
0,0,10,2.0,train,0,3
0,0,10,3.0,train,0,3
0,0,10,4.0,train,0,3
0,0,10,5.0,train,0,3
0,0,10,6.0,train,0,3
0,0,10,7.0,train,0,3
0,0,10,8.0,train,0,3
0,0,10,9.0,train,0,3
0,0,22,10.0,test,0,2
0,0,22,1.0,train,0,2
0,0,22,2.0,train,0,2
0,0,22,3.0,train,0,2
0,0,22,4.0,train,0,2
0,0,22,5.0,train,0,2
0,0,22,6.0,train,0,2
0,0,22,7.0,train,0,2
0,0,22,8.0,train,0,2
0,0,22,9.0,train,0,2
0,0,83,10.0,test,1,1
0,0,83,1.0,train,1,1
0,0,83,2.0,train,1,1
0,0,83,3.0,train,1,1
0,0,83,4.0,train,1,1
0,0,83,5.0,train,1,1
0,0,83,6.0,train,1,1
0,0,83,7.0,train,1,1
0,0,83,8.0,train,1,1
0,0,83,9.0,train,1,1
0,0,49,10.0,test,1,4
0,0,49,1.0,train,1,4
0,0,49,2.0,train,1,4
0,0,49,3.0,train,1,4
0,0,49,4.0,train,1,4
0,0,49,5.0,train,1,4
0,0,49,6.0,train,1,4
0,0,49,7.0,train,1,4
0,0,49,8.0,train,1,4
0,0,49,9.0,train,1,4
0,0,87,10.0,test,1,1
0,0,87,1.0,train,1,1
0,0,87,2.0,train,1,1
0,0,87,3.0,train,1,1
0,0,87,4.0,train,1,1
0,0,87,5.0,train,1,1
0,0,87,6.0,train,1,1
0,0,87,7.0,train,1,1
0,0,87,8.0,train,1,1
0,0,87,9.0,train,1,1
0,0,42,10.0,test,1,5
0,0,42,1.0,train,1,5
0,0,42,2.0,train,1,5
0,0,42,3.0,train,1,5
0,0,42,4.0,train,1,5
0,0,42,5.0,train,1,5
0,0,42,6.0,train,1,5
0,0,42,7.0,train,1,5
0,0,42,8.0,train,1,5
0,0,42,9.0,train,1,5
0,1,64,1.0,test,2,6
0,1,64,2.0,train,2,6
0,1,64,3.0,train,2,6
0,1,64,4.0,train,2,6
0,1,64,5.0,train,2,6
0,1,64,6.0,train,2,6
0,1,64,7.0,train,2,6
0,1,64,8.0,train,2,6
0,1,64,9.0,train,2,6
0,1,64,10.0,train,2,6
0,1,94,1.0,test,1,1
0,1,94,2.0,train,1,1
0,1,94,3.0,train,1,1
0,1,94,4.0,train,1,1
0,1,94,5.0,train,1,1
0,1,94,6.0,train,1,1
0,1,94,7.0,train,1,1
0,1,94,8.0,train,1,1
0,1,94,9.0,train,1,1
0,1,94,10.0,train,1,1
0,1,60,1.0,test,0,2
0,1,60,2.0,train,0,2
0,1,60,3.0,train,0,2
0,1,60,4.0,train,0,2
0,1,60,5.0,train,0,2
0,1,60,6.0,train,0,2
0,1,60,7.0,train,0,2
0,1,60,8.0,train,0,2
0,1,60,9.0,train,0,2
0,1,60,10.0,train,0,2
0,1,48,1.0,test,1,3
0,1,48,2.0,train,1,3
0,1,48,3.0,train,1,3
0,1,48,4.0,train,1,3
0,1,48,5.0,train,1,3
0,1,48,6.0,train,1,3
0,1,48,7.0,train,1,3
0,1,48,8.0,train,1,3
0,1,48,9.0,train,1,3
0,1,48,10.0,train,1,3
0,1,93,1.0,test,1,3
0,1,93,2.0,train,1,3
0,1,93,3.0,train,1,3
0,1,93,4.0,train,1,3
0,1,93,5.0,train,1,3
0,1,93,6.0,train,1,3
0,1,93,7.0,train,1,3
0,1,93,8.0,train,1,3
0,1,93,9.0,train,1,3
0,1,93,10.0,train,1,3
0,1,20,1.0,test,0,2
0,1,20,2.0,train,0,2
0,1,20,3.0,train,0,2
0,1,20,4.0,train,0,2
0,1,20,5.0,train,0,2
0,1,20,6.0,train,0,2
0,1,20,7.0,train,0,2
0,1,20,8.0,train,0,2
0,1,20,9.0,train,0,2
0,1,20,10.0,train,0,2
0,1,40,1.0,test,1,3
0,1,40,2.0,train,1,3
0,1,40,3.0,train,1,3
0,1,40,4.0,train,1,3
0,1,40,5.0,train,1,3
0,1,40,6.0,train,1,3
0,1,40,7.0,train,1,3
0,1,40,8.0,train,1,3
0,1,40,9.0,train,1,3
0,1,40,10.0,train,1,3
0,1,61,2.0,test,0,2
0,1,61,1.0,train,0,2
0,1,61,3.0,train,0,2
0,1,61,4.0,train,0,2
0,1,61,5.0,train,0,2
0,1,61,6.0,train,0,2
0,1,61,7.0,train,0,2
0,1,61,8.0,train,0,2
0,1,61,9.0,train,0,2
0,1,61,10.0,train,0,2
0,1,7,2.0,test,2,9
0,1,7,1.0,train,2,9
0,1,7,3.0,train,2,9
0,1,7,4.0,train,2,9
0,1,7,5.0,train,2,9
0,1,7,6.0,train,2,9
0,1,7,7.0,train,2,9
0,1,7,8.0,train,2,9
0,1,7,9.0,train,2,9
0,1,7,10.0,train,2,9
0,1,71,2.0,test,2,2
0,1,71,1.0,train,2,2
0,1,71,3.0,train,2,2
0,1,71,4.0,train,2,2
0,1,71,5.0,train,2,2
0,1,71,6.0,train,2,2
0,1,71,7.0,train,2,2
0,1,71,8.0,train,2,2
0,1,71,9.0,train,2,2
0,1,71,10.0,train,2,2
0,1,84,2.0,test,1,3
0,1,84,1.0,train,1,3
0,1,84,3.0,train,1,3
0,1,84,4.0,train,1,3
0,1,84,5.0,train,1,3
0,1,84,6.0,train,1,3
0,1,84,7.0,train,1,3
0,1,84,8.0,train,1,3
0,1,84,9.0,train,1,3
0,1,84,10.0,train,1,3
0,1,91,2.0,test,1,3
0,1,91,1.0,train,1,3
0,1,91,3.0,train,1,3
0,1,91,4.0,train,1,3
0,1,91,5.0,train,1,3
0,1,91,6.0,train,1,3
0,1,91,7.0,train,1,3
0,1,91,8.0,train,1,3
0,1,91,9.0,train,1,3
0,1,91,10.0,train,1,3
0,1,24,2.0,test,2,7
0,1,24,1.0,train,2,7
0,1,24,3.0,train,2,7
0,1,24,4.0,train,2,7
0,1,24,5.0,train,2,7
0,1,24,6.0,train,2,7
0,1,24,7.0,train,2,7
0,1,24,8.0,train,2,7
0,1,24,9.0,train,2,7
0,1,24,10.0,train,2,7
0,1,63,3.0,test,2,6
0,1,63,1.0,train,2,6
0,1,63,2.0,train,2,6
0,1,63,4.0,train,2,6
0,1,63,5.0,train,2,6
0,1,63,6.0,train,2,6
0,1,63,7.0,train,2,6
0,1,63,8.0,train,2,6
0,1,63,9.0,train,2,6
0,1,63,10.0,train,2,6
0,1,47,3.0,test,2,8
0,1,47,1.0,train,2,8
0,1,47,2.0,train,2,8
0,1,47,4.0,train,2,8
0,1,47,5.0,train,2,8
0,1,47,6.0,train,2,8
0,1,47,7.0,train,2,8
0,1,47,8.0,train,2,8
0,1,47,9.0,train,2,8
0,1,47,10.0,train,2,8
0,1,80,3.0,test,1,3
0,1,80,1.0,train,1,3
0,1,80,2.0,train,1,3
0,1,80,4.0,train,1,3
0,1,80,5.0,train,1,3
0,1,80,6.0,train,1,3
0,1,80,7.0,train,1,3
0,1,80,8.0,train,1,3
0,1,80,9.0,train,1,3
0,1,80,10.0,train,1,3
0,1,23,3.0,test,2,7
0,1,23,1.0,train,2,7
0,1,23,2.0,train,2,7
0,1,23,4.0,train,2,7
0,1,23,5.0,train,2,7
0,1,23,6.0,train,2,7
0,1,23,7.0,train,2,7
0,1,23,8.0,train,2,7
0,1,23,9.0,train,2,7
0,1,23,10.0,train,2,7
0,1,28,3.0,test,1,3
0,1,28,1.0,train,1,3
0,1,28,2.0,train,1,3
0,1,28,4.0,train,1,3
0,1,28,5.0,train,1,3
0,1,28,6.0,train,1,3
0,1,28,7.0,train,1,3
0,1,28,8.0,train,1,3
0,1,28,9.0,train,1,3
0,1,28,10.0,train,1,3
0,1,9,3.0,test,0,2
0,1,9,1.0,train,0,2
0,1,9,2.0,train,0,2
0,1,9,4.0,train,0,2
0,1,9,5.0,train,0,2
0,1,9,6.0,train,0,2
0,1,9,7.0,train,0,2
