,sub_num,galaxy,condition,age,n_prac,block,planet,true_planet,prt,initial_reward,leave_thresh,total_reward,avg_rt,catch_perf,catch_rt,mean,mode,mean_post,mode_post,gal_0_trans_0,gal_0_trans_1,gal_0_trans_2,gal_1_trans_0,gal_1_trans_1,gal_1_trans_2,gal_2_trans_0,gal_2_trans_1,gal_2_trans_2,opt_prt,opt_prt_om,prt_rel_mvt,prt_rel_om
77,40,2,1.0,51.0,1.0,2.7,25.3,40.0,7.75,99.55,26.425,14383.0,175.3803353245016,2.0,2554.5999999999995,2.8125,2.0,2.5555555555555562,2.0,0.7277777777777779,0.16111111111111118,0.11111111111111113,0.0,0.5854040404040403,0.4145959595959595,0.12712345048176887,0.1595473023165707,0.7133292472016602,5.75,6.7,2.0,1.05
78,41,0,1.0,39.0,1.0,2.6363636363636362,20.09090909090909,35.81818181818182,2.4545454545454546,97.9090909090909,34.72727272727273,14095.0,770.3439393939393,2.0,3978.25,2.6875,2.0,2.555555555555556,2.0,0.7214285714285715,0.1928968253968254,0.08567460317460318,0.0,0.5993265993265992,0.4006734006734007,0.22433862433862434,0.13121693121693123,0.6444444444444445,2.0,2.0,0.45454545454545453,0.45454545454545453
79,41,1,1.0,39.0,1.0,3.8846153846153846,36.42307692307692,63.57692307692308,3.269230769230769,98.26923076923077,33.23076923076923,14095.0,642.5589743589743,2.0,3978.25,2.6875,2.0,2.5555555555555567,2.0,0.6299533799533801,0.21386946386946376,0.1561771561771561,0.0,0.6793480469889811,0.3206519530110188,0.12544955044955042,0.2125407201494159,0.6620097294010335,2.923076923076923,2.269230769230769,0.34615384615384615,1.0
80,41,2,1.0,39.0,1.0,2.6666666666666665,23.095238095238095,39.523809523809526,8.047619047619047,100.95238095238095,24.88095238095238,14095.0,645.341622696087,2.0,3978.25,2.6875,2.0,2.5555555555555562,2.0,0.6428571428571427,0.19841269841269835,0.15873015873015875,0.0,0.5813371813371812,0.41866281866281857,0.12219584938625186,0.14684771497851995,0.730956435635228,6.0,6.857142857142857,2.0476190476190474,1.1904761904761905
81,44,0,1.0,50.0,2.0,2.2,20.2,29.066666666666666,2.1333333333333333,99.73333333333333,53.266666666666666,14519.0,551.6511111111112,2.0,2654.3499999999995,2.5789473684210527,2.0,2.3999999999999995,2.0,0.7411378304235445,0.16082588046873766,0.09803628910771767,0.0,0.6200466200466199,0.3799533799533799,0.3148310023310023,0.08566433566433568,0.599504662004662,2.0,2.0,0.13333333333333333,0.13333333333333333
82,44,1,1.0,50.0,2.0,3.8846153846153846,41.42307692307692,63.57692307692308,2.8846153846153846,100.1923076923077,39.67307692307692,14519.0,516.5482638889029,2.0,2654.3499999999995,2.578947368421053,2.0,2.399999999999999,2.0,0.6576923076923076,0.12692307692307708,0.21538461538461537,0.0,0.6793480469889811,0.3206519530110188,0.17239639167805512,0.22283597519892417,0.604767633123021,2.923076923076923,2.1923076923076925,-0.038461538461538464,0.6923076923076923
83,44,2,1.0,50.0,2.0,2.652173913043478,27.652173913043477,39.73913043478261,6.086956521739131,100.34782608695652,38.608695652173914,14519.0,575.4148593073594,2.0,2654.349999999999,2.5789473684210535,2.0,2.399999999999999,2.0,0.6710781971651535,0.1465679248287945,0.18235387800605196,0.0,0.5834870443566094,0.41651295564339036,0.20301508952472924,0.1325643865469365,0.6644205239283342,5.478260869565218,6.3478260869565215,0.6086956521739131,-0.2608695652173913
84,45,0,1.0,38.0,1.0,2.176470588235294,21.41176470588235,29.352941176470587,2.1176470588235294,101.17647058823529,50.23529411764706,14191.0,507.45931372254904,2.0,2310.7999999999997,3.5789473684210535,2.0,3.8181818181818197,2.0,0.786093247030747,0.1713487900987901,0.042557962870462866,0.0,0.6040404040404039,0.39595959595959584,0.2629269678886047,0.06601875532821826,0.671054276783177,2.0,2.0,0.11764705882352941,0.11764705882352941
85,45,1,1.0,38.0,1.0,3.8846153846153846,43.96153846153846,63.57692307692308,2.5,100.07692307692308,58.53846153846154,14191.0,546.6464666731332,2.0,2310.800000000001,3.578947368421054,2.0,3.8181818181818175,2.0,0.6976244343891401,0.17428355957767716,0.12809200603318247,0.0,0.6793480469889811,0.3206519530110188,0.16347674065065376,0.16581787777439957,0.6707053815749466,2.8461538461538463,2.230769230769231,-0.34615384615384615,0.2692307692307692
86,45,2,1.0,38.0,1.0,2.8846153846153846,32.26923076923077,45.11538461538461,4.846153846153846,100.07692307692308,46.92307692307692,14191.0,569.368538645236,2.0,2310.800000000001,3.578947368421054,2.0,3.8181818181818175,2.0,0.7256787330316742,0.17383107088989438,0.10049019607843133,0.0,0.5830434522742214,0.41695654772577845,0.15453288854398017,0.11451353832897782,0.7309535731270417,5.1923076923076925,6.230769230769231,-0.34615384615384615,-1.3846153846153846
